,No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location,Deaths by same cause,Year,Deaths that same year
71,72,Ang Dorje,1984-10-24,35.0,Mission to recover body of Hannelore Schmatz,Nepal,Fall,8400m S.E. Ridge,46.0,1984,8
72,73,Yogendra Bahadur Thapa,1984-10-24,36.0,Mission to recover body of Hannelore Schmatz,Nepal,Fall,8400m S.E. Ridge,46.0,1984,8
73,74,Juanjo Navarro,1985-05-12,,Navarrese Expedition,Spain,Fall,7300m,46.0,1985,7
74,75,Shinichi Ishii,1985-09-19,,Japanese Expedition,Japan,Avalanche,Below North Col,50.0,1985,7
75,76,Kiran Inder Kumar,1985-10-07,40.0,Indian Expedition,India,Fall,7986m,46.0,1985,7
76,77,Jai Bahugana,1985-10-11,,Indian Expedition,India,Exposure,South Col,25.0,1985,7
77,78,Ranjeet Singh Bakshi,1985-10-11,,Indian Expedition,India,Exposure,South Col,25.0,1985,7
78,79,Vijay Pal Singh Negi,1985-10-11,28.0,Indian Expedition,India,Exposure,South Col,25.0,1985,7
79,80,M.U. Bhaskar Rao,1985-10-11,,Indian Expedition,India,Exposure,South Col,25.0,1985,7
80,81,Víctor Hugo Trujillo,1986-08-16,22.0,,Chile,Avalanche,Below North Col,50.0,1986,4
81,82,Simon Burkhardt,1986-09-28,52.0,Eiselin Sports Expedition,Switzerland,Avalanche,7315m,50.0,1986,4
82,83,Gyalu,1986-10-04,,Eiselin Sports Expedition,Nepal,Crushed under serac,Icefall,5.0,1986,4
83,84,Dawa Norbu,1986-10-17,,Eiselin Sports Expedition,Nepal,Avalanche,Below North Col,50.0,1986,4
84,85,Tsuttin Dorje,1987-01-30,,,Nepal,Fall,7700m,46.0,1987,4
85,86,Roger Marshall,1987-05-21,45.0,,Canada,Disappearance (likely accidental death during descent),"Hornbein Couloir, Near Summit",2.0,1987,4
86,87,Masao Yokoyama,1987-09-02,44.0,Japanese Expedition,Japan,Drowned,East Rongbuk Glacier,2.0,1987,4
87,88,Mangal Singh,1987-10-20,,British Expedition,Nepal,Avalanche,Base camp,50.0,1987,4
88,89,Hidetaka Mizukoshi,1988-04-21,,"35th Anniversary climb with Chinese, Japanese and Nepalese nationals",Japan,Heart attack (at Base camp),Base camp,2.0,1988,10
89,90,Michel Parmentier,1988-09-20,,International,France,Exposure,7700m,25.0,1988,10
90,91,Narayan Shrestha,1988-09-21,,,Nepal,Avalanche,7200m,50.0,1988,10
91,92,Lhakpa Sonam,1988-10-13,,,Nepal,Fall,8200m,46.0,1988,10
92,93,Pasang Temba,1988-10-13,,,Nepal,Fall,8200m,46.0,1988,10
93,94,Dušan Becík,1988-10-17,34.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,4.0,1988,10
94,95,Peter Božík,1988-10-17,34.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,4.0,1988,10
95,96,Jaroslav Jaško,1988-10-17,26.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,4.0,1988,10
96,97,Jozef Just,1988-10-17,33.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,4.0,1988,10
97,98,Ang Lhakpa,1988-12-23,,,Nepal,Cerebral thrombosis,South Col,1.0,1988,10
98,99,Dimitar Ilievski-Murato,1989-05-10,35.0,,Yugoslavia,Fall,Descending South Col Route,46.0,1989,8
99,100,Phu Dorje,1989-05-16,,,Nepal,Fall,Descending South Col Route,46.0,1989,8
100,101,Mirosław Dąsal,1989-05-27,37.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,50.0,1989,8
101,102,Mirosław Gardzielewski,1989-05-27,35.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,50.0,1989,8
102,103,Andrzej Heinrich,1989-05-27,51.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,50.0,1989,8
103,104,Wacław Otręba,1989-05-27,50.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,50.0,1989,8
104,105,Eugeniusz Chrobak,1989-05-28,30.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche injuries,Lhola camp,1.0,1989,8
105,106,Ang Pinjo,1989-12-12,,South Korean expedition,Nepal,"Altitude sickness, heart attack",,1.0,1989,8
106,107,Rafael Gómez-Menor,1990-09-14,,,Spain,Avalanche,,50.0,1990,4
107,108,Ang Sona,1990-09-14,,,Nepal,Avalanche,,50.0,1990,4
108,109,Badri Nath,1990-09-14,,,Nepal,Avalanche,,50.0,1990,4
109,110,Ham Sang-hun,1990-10-07,,Japanese Korean expedition,South Korea,Disappearance (likely accidental death during climb),,11.0,1990,4
110,111,Rüdiger Lang,1991-05-03,,Austrian solo expedition,Germany,Exposure,7850m N.E. Ridge,25.0,1991,2
111,112,Junichi Futagami,1991-05-27,,Japanese solo expedition,Japan,Fall,8700m NE,46.0,1991,2
112,113,Deepak Kulkarni,1992-05-02,,Indian expedition,India,Exposure,,25.0,1992,5
113,114,Raymond Jacob,1992-05-02,,Indian expedition,India,Exposure,,25.0,1992,5
114,115,Subba Singh,1992-05-11,43.0,,Nepal,Heart attack,,5.0,1992,5
115,116,Sher Singh,1992-05-23,,Indian Expedition,India,Fall,Icefall,46.0,1992,5
116,117,Manabu Hoshi,1992-05-23,,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),8350m NE,11.0,1992,5
117,118,Ang Tshering,1993-01-15,,Spanish Expedition,Nepal,Fall,,46.0,1993,8
118,119,Pasang Lhamu Sherpa,1993-04-23,32.0,Nepalese Expedition,Nepal,Disappearance (likely accidental death during climb),8750m S.E. Ridge,11.0,1993,8
119,120,Sonam Tshering,1993-04-23,,Nepalese Expedition,Nepal,,8750m S.E. Ridge,,1993,8
120,121,Lobsang Tshering Bhutia,1993-05-10,41.0,40th anniversary of Tenzing Norgay's climb,Nepal,Fall,8750m S.E. Ridge,46.0,1993,8
121,122,Nam Won-woo,1993-05-16,,South Korean expedition,South Korea,Fall,8450m S.E. Ridge,46.0,1993,8
122,123,A Jin-seob,1993-05-17,,South Korean expedition,South Korea,Fall,8450m S.E. Ridge,46.0,1993,8
123,124,Karl Henize,1993-10-05,66.0,American expedition,United States,HAPE,6400m,2.0,1993,8
124,125,Antonio Miranda,1993-10-07,,,Spain,Fall,,46.0,1993,8
125,126,Prem Thapa,1994-04-06,,German Expedition,Nepal,Cerebral oedema,,3.0,1994,5
126,127,Shih Fang-Fang 'Norman',1994-05-09,27.0,Taiwanese,Taiwan,Exhaustion and/or exposure,,3.0,1994,5
127,128,Giuseppe Vigani,1994-05-18,43.0,Italian Expedition,Italy,Fall,North Face,46.0,1994,5
128,129,Mike Rheinberger,1994-05-27,53.0,Australian Expedition,Australia,"150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs.",8500m NE,1.0,1994,5
129,130,Mingma Norbu,1994-09-12,,Norwegian Expedition,Nepal,Avalanche,,50.0,1994,5
130,131,Kami Rita,1995-05-06,,American Expedition,Nepal,Fall,,46.0,1995,3
131,132,Lhakpa Nuru,1995-09-10,,South Korean Expedition,Nepal,,6900m,,1995,3
132,133,Zangbu,1995-10-14,,South Korean Expedition,Nepal,Fall,Near Summit,46.0,1995,3
133,134,Chen Yu-Nan,1996-05-09,36.0,"""Makalu"" Gau Ming-Ho Taiwanese expedition",Taiwan,Injuries from a fall,,1.0,1996,15
134,135,Scott Fischer,1996-05-11,40.0,Mountain Madness,United States,"Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure.",8300m S.E. Ridge,1.0,1996,15
135,136,Rob Hall,1996-05-11,35.0,Adventure Consultants,New Zealand,Exposure,South Summit,25.0,1996,15
136,137,Doug Hansen,1996-05-11,46.0,Adventure Consultants,United States,Exposure,South Summit,25.0,1996,15
137,138,Andrew Harris,1996-05-11,31.0,Adventure Consultants,New Zealand,Disappearance (likely accidental death during climb),8700m S.E. Ridge,11.0,1996,15
138,139,Yasuko Namba,1996-05-11,47.0,Adventure Consultants,Japan,Exposure,South Col,25.0,1996,15
139,140,Dorje Morup,1996-05-11,47.0,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge,25.0,1996,15
140,141,Tsewang Paljor,1996-05-11,28.0,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge,25.0,1996,15
141,142,Tsewang Samanla,1996-05-11,38.0,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge,25.0,1996,15
142,143,Reinhard Wlasich,1996-05-19,,Austrian,Austria,Altitude sickness,"8300m North Face, Great Couloir",17.0,1996,15
143,144,Bruce Herrod,1996-05-25,37.0,South African/British,United Kingdom,Rope accident,"S.E. Ridge, Hillary Step",1.0,1996,15
144,145,Ngawang Topche,1996-06-06,,American,Nepal,Lapsed into coma on 23 Apr 1996; later died in hospital,Camp II,1.0,1996,15
145,146,Yves Bouchon,1996-09-25,,French/Belgian/Swiss,France,Avalanche,7400m Lhotse Face,50.0,1996,15
146,147,Lopsang Jangbu,1996-09-25,24.0,Japanese,Nepal,Avalanche,7400m Lhotse Face,50.0,1996,15
147,148,Dawa,1996-09-25,,South Korea,Nepal,Avalanche,7400m Lhotse Face,50.0,1996,15
148,149,Malcolm Duff,1997-04-23,,British,United Kingdom,Heart attack (at Base camp),Base Camp,2.0,1997,9
149,150,Nima Rinzi,1997-05-06,,Malaysian,United Kingdom,Fall,Lhotse Face,46.0,1997,9
150,151,Aleksandr Torochin,1997-05-07,,Russian,Russia,Fall,8400m N.E. Ridge,46.0,1997,9
151,152,Ivan Plotnikov,1997-05-07,,Russian,Russia,Exhaustion and/or exposure,8700m N.E. Ridge,3.0,1997,9
152,153,Nikolai Shevtchenko,1997-05-07,,Russian,Russia,Exhaustion and/or exposure,8700m N.E. Ridge,3.0,1997,9
153,154,Mingma,1997-05-07,,Russian,Nepal,Fall,N.E. Ridge,46.0,1997,9
154,155,Peter Kowalzik,1997-05-08,,Polish,Germany,Disappearance (likely accidental death during climb),N.E. Ridge,11.0,1997,9
155,156,Tenzing Nuru,1997-09-08,,American,Nepal,Disappearance (likely accidental death during climb),S.E. Ridge,11.0,1997,9
156,157,Choi Byong-soo,1997-09-08,,South Korean,South Korea,Avalanche,North Col Flank,50.0,1997,9
157,158,Sergei Arsentiev,1998-05-24,,Russian/French,United States,100m fall,N.E. Ridge,1.0,1998,5
158,159,Francys Arsentiev,1998-05-24,40.0,Russian/French,United States,Exposure and/or cerebral oedema,N.E. Ridge,1.0,1998,5
159,160,Mark Jennings,1998-05-25,,British,United Kingdom,Exhaustion,N.E. Ridge,9.0,1998,5
160,161,Roger Buick,1998-05-26,,New Zealand,New Zealand,Exhaustion,N.E. Ridge,9.0,1998,5
161,162,Shahid Abdul Khader,1998-07-24,21.0,,India,Died due to fall,North Col,1.0,1998,5
162,163,Vasyl Kopytko,1999-05-08,,Ukrainian,Ukraine,Unknown cause,N.E. Ridge,1.0,1999,4
163,164,Michael Matthews,1999-05-13,22.0,International,United Kingdom,,S.E. Ridge,,1999,4
164,165,Tadeusz Kudelski,1999-05-18,44.0,Polish International,Poland,Fall,N.E. Ridge,46.0,1999,4
165,166,Pascal Debrouwer,1999-05-18,29.0,Belgian International,Belgium,Fall,N.E. Ridge,46.0,1999,4
166,167,Jeppe Stoltz,2000-05-20,27.0,,Denmark,Fall,N.E. Ridge,46.0,2000,2
167,168,Yan Genghua,2000-05-21,,Chinese,China,"Disappeared after reaching the north summit; body found on May 27, 2000; likely accidental death during descent",N.E. Ridge,1.0,2000,2
168,169,Babu Chiri Sherpa,2001-04-29,35.0,Nepalese,Nepal,Fall,N.E. Ridge,46.0,2001,5
169,170,Peter Ganner,2001-05-23,,Austrian,Austria,Fall,8500m S.E. Ridge,46.0,2001,5
170,171,Mark Auricht,2001-05-24,,Australian,Australia,Cerebral oedema,N.E. Ridge,3.0,2001,5
171,172,Aleksei Nikiforov,2001-05-24,,Russian,Russia,"Pre-existing illness exacerbated by freezing conditions, altitude",8500m N.E. Ridge,1.0,2001,5
172,173,Sándor Gárdos,2001-10-17,,Hungarian,Hungary,Fall,7800m N.E. Ridge,46.0,2001,5
173,174,Peter Legate,2002-04-30,38.0,British International,United Kingdom,Fall into a crevasse,Below Camp III,10.0,2002,3
174,175,Zoran Miletić,2002-05-19,,Russian International,Yugoslavia,Exact cause and date of death unknown,7800m N.E. Ridge,1.0,2002,3
175,176,Marco Siffredi,2002-09-08,23.0,International,France,Snowboarding accident,Hornbein Couloir,1.0,2002,3
176,177,Bhim Bahadur Gurung,2003-05-27,,Indo-Nepal,Nepal,Fall into a crevasse,5900m Icefall,10.0,2003,4
177,178,Jan Krzysztof Liszewski,2003-05-25,55.0,Independent,Poland,Fall,7900m N.E. Ridge,46.0,2003,4
178,179,Arnaud Saulnier,2003-05-08,,French,France,Sickness in tent,5500m S.E. Ridge,1.0,2003,4
179,180,Karma Gyalzen Sherpa,2003-05-24,,International,Nepal,Altitude sickness,6000m S.E. Ridge,17.0,2003,4
180,181,Joon-ho Baek,2004-05-18,38.0,South Korean,South Korea,Exposure,8500m N.E. Ridge,25.0,2004,7
181,182,Min Jang,2004-05-18,28.0,South Korean,South Korea,Exposure,8500m N.E. Ridge,25.0,2004,7
182,183,Mu-taek Park,2004-05-18,36.0,South Korean,South Korea,Exposure,8500m N.E. Ridge,25.0,2004,7
183,184,Nils Antezana,2004-05-18,69.0,International,United States,Exposure,8600m S.E. Ridge,25.0,2004,7
184,185,Hristo Ganchev Hristov,2004-05-20,27.0,Bulgarian,Bulgaria,Exposure,8600m N.E. Ridge,25.0,2004,7
185,186,Shoko Ota,2004-05-20,63.0,Japanese,Japan,Exposure,8600m N.E. Ridge,25.0,2004,7
