,No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location,Deaths by same cause,Year,Deaths that same year
234,235,Ralf D. Arnold,2012-05-20,43.0,Monterosa,Germany,Exhaustion and related complications after breaking leg at Second Step,8300m N.E. Ridge,1.0,2012,10
235,236,Mingma Sherpa,2013-04-07,45.0,Destination Himalaya,Nepal,Falling into a crevasse,Between Camps I and II in the Western Cwm,1.0,2013,9
236,237,DaRita Sherpa,2013-05-05,37.0,International Mountain Guides,Nepal,Suspected cardiac arrest,Camp III on south side,2.0,2013,9
237,238,Sergey Ponomarev,2013-05-05,,7 Summits Club Everest expedition,Russia,Suspected cardiac arrest,At 100m above ABC on north side (at about 6500m),2.0,2013,9
238,239,Lobsang Sherpa,2013-05-07,22.0,Chinese expedition team,Nepal,Fall,Between Camp II and Camp III on descent from Camp IV (on south side),46.0,2013,9
239,240,Alexey Bolotov,2013-05-15,50.0,Russian South-West Face expedition,Russia,Fall,5600m Icefall,46.0,2013,9
240,241,Namgyal Sherpa,2013-05-17,35.0,,Nepal,,8300m N.E. Ridge,,2013,9
241,242,Seo Sung-ho,2013-05-21,33.0,Zero to 8848 expedition,South Korea,Suspected altitude sickness,On descent (south side),4.0,2013,9
242,243,Sajal Khaled (Mohammed Khaled Hossain),2013-05-21,35.0,,Bangladesh,Suspected altitude sickness,South Col Camp,4.0,2013,9
243,244,Unknown climber,2013-05-22,,,Nepal,Suspected altitude sickness,Camp IV (south side) in tent,4.0,2013,9
244,245,Mingma Tenzing Sherpa,2014-04-02,,Peak Freaks Expedition,Nepal,HAPE,Everest Base Camp,2.0,2014,16
245,246,Mingma Nuru Sherpa,2014-04-18,46.0,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
246,247,Dorji Sherpa,2014-04-18,,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
247,248,Ang Tshiri Sherpa,2014-04-18,,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
248,249,Nima Sherpa,2014-04-18,,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
249,250,Tenzing Chottar Sherpa,2014-04-18,,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
250,251,Phurba Ongyal Sherpa,2014-04-18,,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
251,252,Lapka Tenjing Sherpa,2014-04-18,,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
252,253,Chhiring Ongchu Sherpa,2014-04-18,,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
253,254,Dorjee Khatri,2014-04-18,,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
254,255,Then Dorjee Sherpa,2014-04-18,,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
255,256,Phur Temba Sherpa,2014-04-18,,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
256,257,Pasang Karma Sherpa,2014-04-18,,Jagged Globe Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
257,258,Ankaji Sherpa,2014-04-18,,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
258,259,PemTenji Sherpa,2014-04-18,,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
259,260,Aash Bahadur Gurung,2014-04-18,,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,15.0,2014,16
260,261,Daniel Paul Fredinburg,2015-04-25,33.0,2015 Jagged Globe Everest Expedition,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
261,262,Marisa Eve Girawong,2015-04-25,28.0,H.G. Nuptse Expedition 2015,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
262,263,Thomas Ely Taplin,2015-04-25,61.0,TET Films & Photography,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
263,264,Pemba Sherpa,2015-04-25,19.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
264,265,Dawa Tsering Sherpa,2015-04-25,33.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
265,266,Maila (Milan) Rai,2015-04-25,41.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
266,267,Chhimi Dawa Sherpa,2015-04-25,27.0,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
267,268,Pema Yishi (Hissi) Sherpa,2015-04-25,,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
268,269,Pasang Temba Sherpa,2015-04-25,,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
269,270,Krishna Kumar Rai,2015-04-25,,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
270,271,Tenzing (Tengien) Bhote,2015-04-25,,Tim Mosedale Everest Expedition (or H.G. Everest Expedition 2015),Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
271,272,Renu Fotedar,2015-04-25,49.0,First Chinese Women Everest Expedition,Australia,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
272,273,Lhakpa Chhiring Sherpa,2015-04-25,33.0,First Chinese Women Everest Expedition,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
273,274,Vinh B Truong,2015-04-25,48.0,Trekker,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
274,275,Shiva Kumar Shrestha,2015-04-25,25.0,Step Up Campaign Everest,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
275,276,Unknown climber,2015-04-25,,,,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,16.0,2015,17
276,277,Jangbu Sherpa,2015-05-01,,Adventure Consultants,Nepal,Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp,1.0,2015,17
277,278,Charles MacAdams,2016-05-11,62.0,,Canada,Cardiac event,Base Camp North Side,1.0,2016,7
278,279,Phurba Sherpa,2016-05-19,25.0,,Nepal,Fall,Near summit,46.0,2016,7
279,280,Eric Arnold,2016-05-21,35.0,Arnold Coster Expeditions,Netherlands,Altitude sickness,South Col / Camp IV,17.0,2016,7
280,281,Marisa Elizabeth Strydom,2016-05-22,34.0,Arnold Coster Expeditions,Australia,"Snow blindness, stroke",Near Camp IV,1.0,2016,7
281,282,Subhash Pal,2016-05-22,44.0,Trekking Camp Nepal,India,Altitude sickness,Around Camp III,17.0,2016,7
282,283,Paresh Chandra Nath,2016-05-22,58.0,Trekking Camp Nepal,India,Exposure,The Balcony,25.0,2016,7
283,284,Goutam Ghosh,2016-05-22,50.0,Trekking Camp Nepal,India,Exposure,The Balcony,25.0,2016,7
284,285,Min Bahadur Sherchan,2017-05-05,85.0,,Nepal,Heart Attack,Base Camp,1.0,2017,5
285,286,Roland Yearwood,2017-05-20,50.0,Everest Parivar Treks,United States,Altitude sickness,Balcony,17.0,2017,5
286,287,Vladimír Štrba,2017-05-21,48.0,Everest Hard Way Slovak Expedition 2017,Slovakia,Altitude sickness,"Camp IV, in the tent",17.0,2017,5
287,288,Francesco Enrico Marchetti,2017-05-21,54.0,Expedition Himalaya,Australia,Altitude sickness,Camp IV,17.0,2017,5
288,289,Ravi Kumar,2017-05-21,27.0,Arun Treks and Expedition,India,Fall into a 200m crevasse,Balcony,1.0,2017,5
289,290,Lam Babu Sherpa,2018-05-14,45.0,Seven Summit Treks,Nepal,Disappearance (reportedly suffered from snow blindness),Above South Col,1.0,2018,5
290,291,Pasang Norbu Sherpa,2018-05-18,41.0,7 Summits Club Expedition,Nepal,Stroke,8550m N.E. Ridge,2.0,2018,5
291,292,Gjeorgi Petkov,2018-05-20,63.0,Tim Mosedale Everest Expedition Spring 2018,North Macedonia,Cardiac arrest,Above Camp III,1.0,2018,5
292,293,Nobukazu Kuriki,2018-05-21,36.0,Solo,Japan,"Hypothermia, had previously reported ""persistent cough and pain"" during attempt",Camp II,1.0,2018,5
293,294,Damai Sarki Sherpa,2018-05-21,37.0,"Himalayan Ascent, Seven Summit Treks",Nepal,Fall into a crevasse,Camp II,10.0,2018,5
294,295,Chris Daly,2019-04-20,35.0,Solo,United States,Died after a fall while trekking down from base camp,Base Camp,1.0,2019,12
295,296,Séamus (Shay) Lawless,2019-05-16,39.0,Seven Summit Treks,Ireland,Presumed dead after fall,Balcony,1.0,2019,12
296,297,Ravi Thakar,2019-05-17,28.0,Seven Summit Treks,India,Altitude sickness,Camp 4,17.0,2019,12
297,298,Donald Cash,2019-05-22,55.0,Pioneer Adventures,United States,Altitude sickness,Hillary Step,17.0,2019,12
298,299,Nihal Bagwan,2019-05-23,27.0,Peak Promotions,India,Exhaustion on descent,near South Col,4.0,2019,12
299,300,Ernst Landgraf,2019-05-23,65.0,Kobler & Partners,Austria,Exhaustion on descent,Tibet side at 8600m after summiting,4.0,2019,12
300,301,Anjali S Kulkarni,2019-05-23,54.0,Transcent or Arun Treks,India,Exhaustion on descent,Near Camp IV,4.0,2019,12
301,302,Kalpana Dash,2019-05-23,52.0,Dreamers Destination Treks,India,Exhaustion on descent,Near Balcony,4.0,2019,12
302,303,Kevin Hynes,2019-05-24,56.0,360 Expeditions,Ireland,Altitude sickness,North Col,17.0,2019,12
303,304,Dhruba Bista,2019-05-24,,Himalayan Ecstasy (Ski) Treks,Nepal,Exhaustion and altitude sickness,Base Camp following evacuation from Camp III,1.0,2019,12
304,305,Robin Haynes Fisher,2019-05-25,44.0,Summit Climb/ Everest Parivar Expedition Ltd,United Kingdom,Exhaustion during descent,100 metres below peak,1.0,2019,12
305,306,Christopher Jon Kulish,2019-05-27,62.0,Climbing the Seven Summits,United States,Cardiac event during descent,South Col,1.0,2019,12
306,307,Puwei Liu,2021-05-12,55.0,Seven Summit Treks,United States,Exhaustion,Near South Summit,9.0,2021,4
307,308,Abdul Waraich,2021-05-12,41.0,Seven Summit Treks,Switzerland,Exhaustion,Near South Summit,9.0,2021,4
308,309,Pemba Tashi Sherpa,2021-05-18,28.0,Climbing the Seven Summits,Nepal,Fall into a crevasse,Between Camp I & Camp II,10.0,2021,4
309,310,Wong Dorchi Sherpa,2021-05-23,,7 Summits Club,Nepal,,near South Col,,2021,4
